PlayerName,Oponent,Tournament,GroundNumerico,Prize,TournamentYear,NumeroSets,DiffIMC,DiffAge,DiffRank,QTDBelgas,Finals,SumMainHand,SumTrainer,TipoTorneio
Jose Pereira,Julien Dubail,Belgium F1,1,10000,2014,3,1.8993467054712525,-3,68.0,1,1,2,1,Melhor_de_3
Michael Geerts,Julien Dubail,Belgium F9,1,10000,2015,2,1.7842440170402796,-7,-155.0,2,0,2,1,Melhor_de_3
Michael Geerts,Julien Dubail,Belgium F12,1,10000,2014,3,1.7842440170402796,-7,-155.0,2,0,2,1,Melhor_de_3
Jeremy Jahn,Julien Dubail,Belgium F14,1,10000,2015,2,2.099860732101508,-2,241.0,1,0,2,0,Melhor_de_3
Jeroen Vanneste,Julien Dubail,Belgium F11,1,15000,2017,2,0.8580429274479506,-6,1351.0,1,1,2,0,Melhor_de_3
Jeroen Vanneste,Julien Dubail,Belgium F6,1,10000,2014,3,0.8580429274479506,-6,1351.0,1,1,2,0,Melhor_de_3
Christopher Heyman,Julien Dubail,Belgium F11,1,10000,2015,2,4.523851397276385,-5,421.0,2,1,1,0,Melhor_de_3
Joris De Loore,Julien Dubail,Belgium F6,1,10000,2012,2,2.6337557213601244,-5,-173.0,2,0,2,1,Melhor_de_3
Joris De Loore,Julien Dubail,Belgium F9,1,10000,2013,3,2.6337557213601244,-5,-173.0,2,1,2,1,Melhor_de_3
Joris De Loore,Julien Dubail,Belgium F3,1,10000,2010,3,2.6337557213601244,-5,-173.0,2,0,2,1,Melhor_de_3
Yannick Mertens,Julien Dubail,Belgium F1,1,10000,2008,2,-0.19509007365021347,1,700.0,2,0,2,1,Melhor_de_3
Sadio Doumbia,Julien Dubail,Mons,2,118163,2015,2,2.948281513252244,-2,2129.0,1,0,2,1,Melhor_de_3
Peter Torebko,Julien Dubail,Belgium F3,1,10000,2014,2,3.6033029139319623,0,-189.0,1,0,2,0,Melhor_de_3
Peter Torebko,Julien Dubail,Belgium F5,1,10000,2011,3,3.6033029139319623,0,-189.0,1,1,2,0,Melhor_de_3
Yannik Reuter,Julien Dubail,Belgium F3,1,10000,2009,2,1.8501984581248045,-3,86.0,2,0,2,0,Melhor_de_3
Yannick Vandenbulcke,Julien Dubail,Belgium F5,2,15000,2013,3,1.8792450804048428,-2,6.0,2,0,2,1,Melhor_de_3
Yannick Vandenbulcke,Julien Dubail,Belgium F4,1,10000,2014,2,1.8792450804048428,-2,6.0,2,1,2,1,Melhor_de_3
Yannick Vandenbulcke,Julien Dubail,Belgium F6,1,10000,2013,2,1.8792450804048428,-2,6.0,2,0,2,1,Melhor_de_3
Romain Bogaerts,Jonas Merckx,Belgium F4,1,10000,2013,2,-4.558736799772738,0,649.0,1,0,1,2,Melhor_de_3
Simon Stevens,Jonas Merckx,Belgium F13,1,10000,2014,2,-3.271321382201819,-3,887.0,2,0,2,1,Melhor_de_3
Dimitar Grabul,Jonas Merckx,Belgium F1,1,10000,2013,2,-3.271321382201819,12,450.0,1,0,2,1,Melhor_de_3
Dimitar Grabul,Jonas Merckx,Belgium F10,1,10000,2013,2,-3.271321382201819,12,450.0,1,0,2,1,Melhor_de_3
Wesley Koolhof,Jonas Merckx,Bercuit,1,54604,2012,2,-1.9876052336208048,4,-442.0,1,0,2,2,Melhor_de_3
Oliver Golding,Jonas Merckx,Belgium F2,1,10000,2013,3,-2.2952691673598835,0,-116.0,1,0,2,1,Melhor_de_3
Olivier Rochus,Jonas Merckx,Belgium F8,1,10000,2014,2,-3.0316339562209507,12,-419.0,2,1,2,2,Melhor_de_3
Alec Witmeur,Jonas Merckx,Belgium F4,2,10000,2011,3,-3.271321382201819,4,596.0,2,0,2,1,Melhor_de_3
Dario Perez,Jonas Merckx,Belgium F5,1,10000,2012,2,-3.271321382201819,13,68.0,1,0,2,1,Melhor_de_3
Juan-Sebastian Vivanco,Jonas Merckx,Belgium F8,1,10000,2012,2,-3.271321382201819,3,164.0,1,0,2,1,Melhor_de_3
Marco Dierckx,Jonas Merckx,Belgium F3,1,10000,2011,2,-3.271321382201819,5,90.0,2,0,2,1,Melhor_de_3
Julien Dubail,Jonas Merckx,Belgium F6,1,10000,2015,3,-5.1215198403266236,5,-72.0,2,1,2,1,Melhor_de_3
Fabiano De Paula,Jonas Merckx,Belgium F5,1,10000,2014,2,-1.4435755329189668,5,-235.0,1,1,2,2,Melhor_de_3
Lennert Van Der Linden,Jonas Merckx,Belgium F3,1,10000,2016,2,-4.841670253824347,4,-4.0,1,1,2,2,Melhor_de_3
Axel Michon,Jonas Merckx,Belgium F2,1,25000,2017,2,-3.271321382201819,3,-64.0,1,0,1,1,Melhor_de_3
Maxime Teixeira,Jonas Merckx,Mons,2,141485,2014,2,-4.841670253824347,4,-289.0,1,0,2,2,Melhor_de_3
Marc Gicquel,Jonas Merckx,Mons,2,136830,2012,2,-4.841670253824347,16,-406.0,1,0,2,2,Melhor_de_3
Jolan Cailleau,Jonas Merckx,Belgium F5,1,15000,2017,2,-3.271321382201819,-2,438.0,2,1,2,1,Melhor_de_3
Stijn Meulemans,Jonas Merckx,Belgium F14,1,10000,2015,3,-3.66626588836316,1,218.0,1,0,2,2,Melhor_de_3
Alexey Vatutin,Jonas Merckx,Belgium F8,2,15000,2015,3,-4.284125968470033,1,-125.0,1,0,2,2,Melhor_de_3
Jonathan Eysseric,Jonas Merckx,Belgium F7,1,10000,2012,2,-1.3703212830035199,3,462.0,1,0,1,2,Melhor_de_3
Julien Cagnina,Jonas Merckx,Belgium F9,1,15000,2017,3,-4.562082425136428,-1,-204.0,1,1,2,1,Melhor_de_3
Julien Cagnina,Jonas Merckx,Belgium F4,1,10000,2015,2,-4.562082425136428,-1,-204.0,1,0,2,1,Melhor_de_3
Julien Cagnina,Jonas Merckx,Belgium F6,1,15000,2017,2,-4.562082425136428,-1,-204.0,1,1,2,1,Melhor_de_3
Dayne Kelly,Jonas Merckx,Belgium F5,1,10000,2015,3,-3.271321382201819,3,-100.0,1,0,2,1,Melhor_de_3
Clement Geens,Jonas Merckx,Belgium F11,1,10000,2015,2,-3.9685092534088042,-3,-198.0,2,1,2,2,Melhor_de_3
Colin Sinclair,Jonas Merckx,Belgium F10,1,15000,2018,3,-2.8611360754630972,-1,-34.0,1,1,2,2,Melhor_de_3
